"primary_key","observed_on","user_id","created_at","updated_at","latitude","longitude","species_guess","scientific_name","common_name","county_names"
116,"2016-08-28",271520,"2016-08-28 22:09:37 +0100","2024-12-27 19:04:25 +0100",40.45855184,-73.9948025,"Pitch Pine","Pinus rigida","pitch pine","Monmouth"
117,"2015-10-21",73668,"2016-09-05 00:01:14 +0100","2018-12-24 01:44:09 +0100",40.481735,-74.430083,"eastern white pine","Pinus strobus","eastern white pine","Middlesex"
118,"2016-09-14",172,"2016-09-15 20:40:52 +0100","2017-01-26 21:34:32 +0100",40.500873,-74.423317,"Scots pine","Pinus sylvestris","Scots pine","Middlesex"
119,"2016-09-30",317271,"2016-10-01 02:25:33 +0100","2016-11-05 23:36:37 +0100",40.2698035,-74.78270568,"Eastern White Pine","Pinus strobus","eastern white pine","Mercer"
120,"2016-10-10",327351,"2016-10-10 13:58:04 +0100","2020-11-19 12:22:23 +0100",40.48076126,-74.42980055,"eastern white pine","Pinus strobus","eastern white pine","Middlesex"
121,"2016-09-26",227451,"2016-10-18 17:37:39 +0100","2016-11-02 17:08:24 +0100",40.481475,-74.43555556,"Pitch Pine","Pinus rigida","pitch pine","Middlesex"
122,"2016-10-31",2179,"2016-10-31 23:52:42 +0100","2025-02-10 14:47:08 +0100",39.83811667,-74.22484667,"pitch pine","Pinus rigida","pitch pine","Ocean"
123,"2016-10-28",327335,"2016-11-02 03:03:42 +0100","2016-11-08 20:45:09 +0100",40.99994667,-74.24115833,"Eastern White Pine","Pinus strobus","eastern white pine","Bergen"
124,"2016-11-02",2179,"2016-11-02 19:17:45 +0100","2025-02-10 14:47:09 +0100",39.63424074,-74.37765691,"pitch pine","Pinus rigida","pitch pine","Ocean"
125,"2016-11-02",2179,"2016-11-02 19:17:50 +0100","2021-05-11 17:15:30 +0100",39.65226053,-74.34430867,"pitch pine","Pinus rigida","pitch pine","Ocean"
126,"2016-11-02",2179,"2016-11-02 19:17:55 +0100","2021-05-11 17:15:17 +0100",39.67924988,-74.35858028,"pitch pine","Pinus rigida","pitch pine","Ocean"
127,"2016-11-02",2179,"2016-11-02 19:17:59 +0100","2021-05-11 17:15:06 +0100",39.70394729,-74.36958874,"pitch pine","Pinus rigida","pitch pine","Ocean"
128,"2016-11-02",2179,"2016-11-02 19:18:03 +0100","2016-11-03 12:52:13 +0100",39.70039462,-74.38997277,"Pitch Pine","Pinus rigida","pitch pine","Ocean"
129,"2016-11-02",2179,"2016-11-02 19:18:26 +0100","2016-11-03 12:52:52 +0100",39.7009482,-74.39004486,"Pitch Pine","Pinus rigida","pitch pine","Burlington"
130,"2016-11-02",2179,"2016-11-02 19:19:16 +0100","2021-05-11 17:14:39 +0100",39.88026199,-74.53400853,"pitch pine","Pinus rigida","pitch pine","Burlington"
131,"2016-11-02",2179,"2016-11-02 19:20:53 +0100","2021-05-11 17:14:26 +0100",39.80019811,-74.38337135,"pitch pine","Pinus rigida","pitch pine","Ocean"
132,"2016-11-02",2179,"2016-11-02 19:21:07 +0100","2021-05-11 17:14:14 +0100",39.8931325,-74.55762735,"pitch pine","Pinus rigida","pitch pine","Burlington"
133,"2016-11-02",2179,"2016-11-02 19:23:29 +0100","2016-11-03 13:06:08 +0100",39.89299981,-74.55681925,"Pitch Pine","Pinus rigida","pitch pine","Burlington"
134,"2016-11-02",327349,"2016-11-03 06:05:37 +0100","2016-11-30 04:51:26 +0100",40.4720359,-74.4367967,"eastern white pine","Pinus strobus","eastern white pine","Middlesex"
135,"2016-11-02",338559,"2016-11-03 07:02:23 +0100","2016-12-01 06:48:40 +0100",40.48091603,-74.43474585,"Eastern White Pine","Pinus strobus","eastern white pine","Middlesex"
136,"2016-11-03",2179,"2016-11-03 14:03:42 +0100","2021-05-11 17:14:01 +0100",39.4484585,-74.47366783,"pitch pine","Pinus rigida","pitch pine","Atlantic"
137,"2016-11-03",2179,"2016-11-04 15:21:57 +0100","2016-11-04 17:44:49 +0100",39.61899909,-74.40733479,"Pitch Pine","Pinus rigida","pitch pine","Burlington"
138,"2016-11-03",2179,"2016-11-04 15:22:01 +0100","2016-11-04 17:44:58 +0100",39.68940758,-74.29890331,"Eastern White Pine","Pinus strobus","eastern white pine","Ocean"
139,"2016-11-03",2179,"2016-11-04 15:22:06 +0100","2016-11-04 17:45:08 +0100",40.0034554,-74.2005778,"Eastern White Pine","Pinus strobus","eastern white pine","Ocean"
140,"2016-11-03",2179,"2016-11-04 15:22:10 +0100","2016-11-04 17:45:18 +0100",40.0768148,-74.15591466,"Pitch Pine","Pinus rigida","pitch pine","Ocean"
141,"2016-11-03",2179,"2016-11-04 15:22:16 +0100","2016-11-04 17:45:29 +0100",40.1435994,-74.10993562,"Pitch Pine","Pinus rigida","pitch pine","Monmouth"
142,"2016-11-09",330811,"2016-11-09 22:30:10 +0100","2022-02-14 04:10:42 +0100",40.23264608,-74.08728037,"pitch pine","Pinus rigida","pitch pine","Monmouth"
143,"2016-11-12",330811,"2016-11-12 23:19:44 +0100","2019-08-27 19:36:59 +0100",40.43139224,-73.98996782,"Scots Pine","Pinus sylvestris","Scots pine","Monmouth"
144,"2016-11-12",35078,"2016-11-14 01:00:57 +0100","2016-11-14 02:45:01 +0100",40.619751,-74.60128784,"eastern white pine","Pinus strobus","eastern white pine","Somerset"
145,"2016-11-21",330811,"2016-11-23 00:00:48 +0100","2016-11-30 20:33:53 +0100",40.34087243,-74.08629064,"eastern white pine","Pinus strobus","eastern white pine","Monmouth"
146,"2016-11-23",35078,"2016-11-24 19:29:53 +0100","2016-11-24 23:01:44 +0100",40.62529662,-74.50099468,"Eastern White Pine","Pinus strobus","eastern white pine","Somerset"
